Date,Net Value,ROIC,Cash,Holdings,Price,SMA1,SMA2,Stop Loss
2002-03-12,995.9526819317259,98.59526819317259,990.0,0.0006364920135051872,9352.327767546221,9959.864504088977,12531.047582080817,6.75
2002-03-13,995.835321792747,98.5835321792747,990.0,0.0006364920135051872,9167.941889186766,9948.615445458356,12526.035097836395,6.75
2002-03-14,995.8247037510304,98.58247037510304,990.0,0.0006364920135051872,9151.259760438323,9936.43784773659,12520.090330594567,6.75
2002-03-15,995.9572578917602,98.59572578917602,990.0,0.0006364920135051872,9359.517111539677,9924.613994019504,12514.684008239572,6.75
2002-03-18,995.9510255954818,98.59510255954818,990.0,0.0006364920135051872,9349.725478422368,9913.65649881606,12508.670938661366,6.75
2002-03-19,995.9994282574398,98.59994282574398,990.0,0.0006364920135051872,9425.771463181018,9905.314082260475,12503.050735361032,6.75
2002-03-20,995.8103649362678,98.58103649362678,990.0,0.0006364920135051872,9128.731881913027,9891.997529177619,12497.321952983215,6.75
2002-03-21,995.8279193660792,98.58279193660792,990.0,0.0006364920135051872,9156.31185061473,9879.696153225399,12491.155544197596,6.75
2002-03-22,995.7785109528645,98.57785109528645,990.0,0.0006364920135051872,9078.685718367562,9869.383546736524,12483.348466960892,6.75
2002-03-25,995.6091850377662,98.56091850377662,990.0,0.0006364920135051872,8812.655805178518,9858.33980445012,12474.397782868393,6.75
2002-03-26,995.6747982353066,98.56747982353066,990.0,0.0006364920135051872,8915.741462418806,9847.331513236872,12465.924506716063,6.75
2002-03-27,995.7355093899993,98.57355093899993,990.0,0.0006364920135051872,9011.125463167393,9835.860309152682,12457.830071491635,6.75
2002-03-28,995.7636713033403,98.57636713033403,990.0,0.0006364920135051872,9055.370972527162,9823.6800452682,12449.562769927395,6.75
2002-04-01,995.7551317124289,98.57551317124289,990.0,0.0006364920135051872,9041.954321995696,9811.983174823226,12441.007259726577,6.75
2002-04-02,995.6569490268749,98.5656949026875,990.0,0.0006364920135051872,8887.698363600668,9799.25810258001,12431.93146562507,6.75
2002-04-03,995.543885687304,98.5543885687304,990.0,0.0006364920135051872,8710.063236730435,9785.760867163719,12422.323207593525,6.75
2002-04-04,995.5531468434193,98.55531468434194,990.0,0.0006364920135051872,8724.613546740255,9771.128473997269,12413.150216125006,6.75
2002-04-05,995.5175503803536,98.55175503803535,990.0,0.0006364920135051872,8668.687529900346,9756.661848731526,12403.599852207672,6.75
2002-04-08,995.5427121360271,98.55427121360272,990.0,0.0006364920135051872,8708.219456679793,9742.303741515894,12393.835810214616,6.75
2002-04-09,995.4689268648547,98.54689268648546,990.0,0.0006364920135051872,8592.294559576769,9726.428461636458,12383.365400040788,6.75
2002-04-10,995.5929048633834,98.55929048633834,990.0,0.0006364920135051872,8787.077833990506,9710.947220554506,12373.278939582462,6.75
2002-04-11,995.327921286214,98.5327921286214,990.0,0.0006364920135051872,8370.759056147192,9694.52389778119,12361.587668151029,6.75
2002-04-12,995.3985940001373,98.53985940001374,990.0,0.0006364920135051872,8481.793778380785,9678.637870634737,12350.419486013614,6.75
2002-04-15,995.3163767289316,98.53163767289315,990.0,0.0006364920135051872,8352.62126802516,9661.720297250775,12338.525517237795,6.75
2002-04-16,995.5653792179634,98.55653792179633,990.0,0.0006364920135051872,8743.831972556309,9645.479415157062,12327.390091647669,6.75
2002-04-17,995.5426909646399,98.55426909646398,990.0,0.0006364920135051872,8708.186194067199,9629.629839594301,12316.233584116757,6.75
2002-04-18,995.5269400689701,98.55269400689701,990.0,0.0006364920135051872,8683.439778816804,9613.207616469346,12305.624771522465,6.75
2002-04-19,995.533821280649,98.5533821280649,990.0,0.0006364920135051872,8694.250930461887,9598.406916238551,12294.589720935926,6.75
2002-04-22,995.363257790676,98.5363257790676,990.0,0.0006364920135051872,8426.2766490036,9582.398915274685,12283.124618251659,6.75
2002-04-23,995.2967393157802,98.52967393157802,990.0,0.0006364920135051872,8321.768699988581,9566.176048228994,12271.801896488023,6.75
2002-04-24,995.221494980928,98.5221494980928,990.0,0.0006364920135051872,8203.551450980605,9550.298403162506,12260.953545546023,6.75
2002-04-25,995.2056366614661,98.52056366614661,990.0,0.0006364920135051872,8178.636260961709,9534.876667029064,12249.758276323111,6.75
2002-04-26,995.061030343828,98.50610303438279,990.0,0.0006364920135051872,7951.443594644085,9519.836046116845,12237.78222053871,6.75
2002-04-29,994.9588053552792,98.49588053552792,990.0,0.0006364920135051872,7790.836727032632,9503.277332234135,12224.66974979572,6.75
2002-04-30,995.065572444162,98.5065572444162,990.0,0.0006364920135051872,7958.579741268992,9488.013679274063,12212.199913703083,6.75
2002-05-01,995.1553201712304,98.51553201712304,990.0,0.0006364920135051872,8099.583438352722,9473.402570766875,12200.47711592357,6.75
2002-05-02,995.1372889352432,98.51372889352432,990.0,0.0006364920135051872,8071.2543539264725,9458.020991023708,12188.896469690926,6.75
